admin_logs,0
archivages,0
audit_logs,0
blogs,0
cache,2
cache_locks,0
categorie_produits,0
categories_produits,92
commandes,0
commentaires,0
contact_messages,0
entreprises,0
factures,0
failed_jobs,0
formation_participants,0
formation_user,0
formations,0
home_collaborators,4
home_marketing_cards,20
home_partners,10
home_testimonials,6
images,402
job_batches,0
jobs,0
ligne_commandes,0
livraisons,0
migrations,68
newsletters,0
notifications,0
paiements,0
password_reset_tokens,0
pays,1
personal_access_tokens,1
produits,283
reservation_formation,0
revendeur_demandes,0
sessions,4
suivi_techniques,0
tickets_support,0
utilisateurs,2
